NX,V_solid,alpha,C_added,R2,rms_residual
64,3768,24874.82202744809,6.601598202613611,0.9999994745025755,10.359544706813047
96,12940,58267.878507188354,4.502927241668343,0.9999999629657698,6.441684478989148
128,30976,109189.76145623114,3.5249793858545693,0.9999999433944691,14.924345841273059
192,105612,276682.493447564,2.6198016650339357,0.9999999972038325,8.404571385728024
256,250836,551992.0027143607,2.2006091737803213,0.9999999997716423,4.7917703260111155
