t,Mxy_coherent,Mxy_incoherent
15.005000000000946,0.1378561407327652,0.1814379096031189
15.055000000000954,0.13795308768749237,0.18143421411514282
15.105000000000961,0.13802245259284973,0.18143054842948914
15.15500000000097,0.1381012350320816,0.18142691254615784
15.205000000000977,0.13822077214717865,0.18142329156398773
15.255000000000985,0.13833415508270264,0.18141967058181763
15.305000000000993,0.13845549523830414,0.1814160943031311
15.355000000001,0.13854362070560455,0.18141251802444458
15.405000000001008,0.13862639665603638,0.18140895664691925
15.455000000001016,0.13872604072093964,0.1814054250717163
15.505000000001024,0.13884900510311127,0.18140190839767456
15.555000000001032,0.13898730278015137,0.1813983917236328
15.60500000000104,0.13910946249961853,0.18139488995075226
15.655000000001047,0.13920988142490387,0.1813914179801941
15.705000000001055,0.1392996907234192,0.18138796091079712
15.755000000001063,0.13939806818962097,0.18138451874256134
15.80500000000107,0.1395164579153061,0.18138110637664795
15.855000000001079,0.13963058590888977,0.18137767910957336
15.905000000001086,0.13972263038158417,0.18137428164482117
15.955000000001094,0.13978606462478638,0.18137088418006897
16.0050000000011,0.13983868062496185,0.18136751651763916
16.05500000000109,0.13989827036857605,0.18136417865753174
16.10500000000108,0.13996928930282593,0.18136084079742432
16.15500000000107,0.140032559633255,0.18135753273963928
16.20500000000106,0.14007329940795898,0.18135420978069305
16.25500000000105,0.1400926560163498,0.1813509166240692
16.30500000000104,0.140112042427063,0.18134763836860657
16.35500000000103,0.1401451677083969,0.1813443899154663
16.40500000000102,0.1401934176683426,0.18134114146232605
16.45500000000101,0.14023876190185547,0.1813378930091858
16.505000000001,0.14026935398578644,0.18133467435836792
16.55500000000099,0.14029082655906677,0.18133145570755005
16.60500000000098,0.14032112061977386,0.18132826685905457
16.65500000000097,0.14037245512008667,0.18132507801055908
16.70500000000096,0.14043551683425903,0.181321918964386
16.75500000000095,0.1404937207698822,0.1813187599182129
16.80500000000094,0.14053690433502197,0.18131563067436218
16.85500000000093,0.14057321846485138,0.18131251633167267
16.90500000000092,0.14062142372131348,0.18130940198898315
16.95500000000091,0.14068667590618134,0.18130630254745483
17.0050000000009,0.14075757563114166,0.1813032031059265
17.05500000000089,0.14081710577011108,0.18130013346672058
17.10500000000088,0.140859454870224,0.18129706382751465
17.15500000000087,0.1408962607383728,0.1812940239906311
17.20500000000086,0.14094358682632446,0.18129098415374756
17.25500000000085,0.1410038024187088,0.1812879592180252
17.30500000000084,0.14106152951717377,0.18128496408462524
17.35500000000083,0.14110258221626282,0.1812819540500641
17.405000000000822,0.14112617075443268,0.18127895891666412
17.455000000000812,0.14114663004875183,0.18127599358558655
17.505000000000802,0.14117774367332458,0.18127302825450897
17.555000000000792,0.14122065901756287,0.1812700629234314
17.605000000000782,0.14125747978687286,0.1812671422958374
17.655000000000772,0.1412772536277771,0.1812642216682434
17.705000000000762,0.14128321409225464,0.18126130104064941
17.755000000000752,0.1412903219461441,0.18125838041305542
17.805000000000742,0.14130955934524536,0.1812554895877838
17.855000000000732,0.14133815467357635,0.1812526136636734
17.905000000000722,0.14135946333408356,0.181249737739563
17.955000000000712,0.14136360585689545,0.18124689161777496
18.005000000000702,0.14135657250881195,0.18124404549598694
18.055000000000692,0.1413552165031433,0.1812412142753601
18.105000000000683,0.1413666307926178,0.18123838305473328
18.155000000000673,0.14138513803482056,0.18123556673526764
18.205000000000663,0.14139480888843536,0.1812327653169632
18.255000000000653,0.141388937830925,0.18122997879981995
18.305000000000643,0.14137707650661469,0.1812271922826767
18.355000000000633,0.14137402176856995,0.18122440576553345
18.405000000000623,0.14138397574424744,0.18122166395187378
18.455000000000613,0.14139880239963531,0.18121890723705292
18.505000000000603,0.14140313863754272,0.18121618032455444
18.555000000000593,0.14139258861541748,0.18121343851089478
18.605000000000583,0.1413787454366684,0.1812107264995575
18.655000000000573,0.14137522876262665,0.18120801448822021
18.705000000000563,0.14138473570346832,0.18120530247688293
18.755000000000553,0.14139588177204132,0.18120262026786804
18.805000000000543,0.14139553904533386,0.18119993805885315
18.855000000000533,0.1413835883140564,0.18119728565216064
18.905000000000523,0.14137250185012817,0.18119461834430695
18.955000000000513,0.14137473702430725,0.18119196593761444
19.005000000000503,0.14139024913311005,0.18118932843208313
19.055000000000494,0.14140404760837555,0.181186705827713
19.105000000000484,0.14140507578849792,0.1811840832233429
19.155000000000474,0.14139585196971893,0.18118146061897278
19.205000000000464,0.14138877391815186,0.18117886781692505
19.255000000000454,0.14139443635940552,0.18117627501487732
19.305000000000444,0.14140895009040833,0.1811736822128296
19.355000000000434,0.14141596853733063,0.18117111921310425
