t,circ_pol
0.0025,3.013271997406985e-09
1.2524999999999844,5.815086375538874e-06
2.5024999999999578,0.0001425527295253742
3.752499999999931,0.0005203915021902043
5.002500000000082,0.0012871639567281188
6.2525000000002775,0.0009117294666708319
7.502500000000473,0.0007485291035825954
8.752500000000401,0.0014421881585788823
10.002500000000152,0.004171364114330082
11.252499999999904,0.014941127857202688
12.502499999999655,0.02273240530861873
13.752499999999406,0.0013889206013621203
15.002499999999158,0.003909878904391171
16.25249999999909,0.004996764272054813
17.502499999999728,0.0015117047607258007
18.752500000000367,0.002601854628884404
20.002500000001007,0.005801887285741695
21.252500000001646,0.006994215336015532
22.502500000002286,0.007691034360800251
23.752500000002925,0.008420932374096296
25.002500000003565,0.009253636933524201
26.252500000004204,0.010195974786049179
27.502500000004844,0.011240648998153495
28.752500000005483,0.012378068965112251
30.002500000006123,0.01359921621574032
31.252500000006762,0.014896370661807193
32.502500000006684,0.016262899959020204
33.75250000000555,0.017693264769969283
35.00250000000441,0.019182745995063193
36.25250000000327,0.020727718923246593
37.50250000000214,0.022325381001250873
38.752500000001,0.023974191212084488
40.00249999999986,0.025674321297804455
41.252499999998726,0.0274276591037754
42.50249999999759,0.029238844288650683
43.75249999999645,0.031115267500222258
45.002499999995315,0.033067570458246535
46.25249999999418,0.03510935800669907
47.50249999999304,0.037256075449184016
48.752499999991905,0.03952346688272752
50.00249999999077,0.04192457925271485
51.25249999998963,0.044467130257241465
52.502499999988494,0.0471487666353358
53.75249999998736,0.04995528325235955
55.00249999998622,0.052859321827029286
56.25249999998508,0.05582348012067507
57.50249999998395,0.0588065893318268
58.75249999998281,0.061774149789043206
60.00249999998167,0.06471202811818211
61.252499999980536,0.0676393281983748
62.5024999999794,0.07062094715217802
63.75249999997826,0.07377248280666504
65.00249999997713,0.07725869874630847
66.252499999976,0.08127824395707707
67.50249999997486,0.08603101039708969
68.75249999997372,0.0916733913740098
70.00249999997258,0.0982711938321074
71.25249999997145,0.10576562407941215
72.50249999997031,0.11397174213702918
73.75249999996917,0.12261419393440962
75.00249999996804,0.13139388686491127
76.2524999999669,0.1400592420402421
77.50249999996576,0.14845541238538285
78.75249999996463,0.15653557177353652
80.00249999996349,0.1643277739354617
81.25249999996235,0.17187391012147638
82.50249999996122,0.1791605972550152
83.75249999996008,0.18607543415340086
85.00249999995894,0.19240477848628731
86.2524999999578,0.19788050238317287
87.50249999995667,0.20225943699641633
88.75249999995553,0.20540459778361336
90.0024999999544,0.20732527266264608
91.25249999995326,0.20817757803034886
92.50249999995212,0.2082236223818881
93.75249999995098,0.2077855354523001
95.00249999994985,0.20721464135818748
96.25249999994871,0.20687365119494008
97.50249999994757,0.2071352334974102
98.75249999994644,0.2083574121144067
100.0024999999453,0.21081705712484583
101.25249999994416,0.21461967238554974
102.50249999994303,0.21963087780232737
103.75249999994189,0.22550732064969017
105.00249999994075,0.23183496865782857
106.25249999993962,0.23828953705775496
107.50249999993848,0.24475558117269092
108.75249999993734,0.2513360545883376
110.0024999999362,0.2583017594959556
111.25249999993507,0.26599585583515883
112.50249999993393,0.27473816274335944
113.7524999999328,0.28473491408101065
115.00249999993166,0.29597808735551373
116.25249999993052,0.30815187294671414
117.50249999992938,0.32060010953053697
118.75249999992825,0.33240351604038815
120.00249999992711,0.3425914395765076
121.25249999992597,0.35043036435995634
122.50249999992484,0.35563832593218553
123.7524999999237,0.3584241222582562
