t,binary_sep
0.0025,6.802814960479736
1.2524999999999844,6.896646022796631
2.5024999999999578,7.111118316650391
3.752499999999931,7.438543796539307
5.002500000000082,7.671245098114014
6.2525000000002775,7.816887378692627
7.502500000000473,7.960998058319092
8.752500000000401,8.102584838867188
10.002500000000152,8.240187644958496
11.252499999999904,8.372087478637695
12.502499999999655,8.495427131652832
13.752499999999406,8.60755729675293
15.002499999999158,8.708717346191406
16.25249999999909,8.799845695495605
17.502499999999728,8.882892608642578
18.752500000000367,8.960999488830566
20.002500000001007,9.034957885742188
21.252500000001646,9.102726936340332
22.502500000002286,9.16311264038086
23.752500000002925,9.21675968170166
25.002500000003565,9.264728546142578
26.252500000004204,9.30842399597168
27.502500000004844,9.349775314331055
28.752500000005483,9.39129638671875
30.002500000006123,9.435973167419434
31.252500000006762,9.486883163452148
32.502500000006684,9.546496391296387
33.75250000000555,9.615769386291504
35.00250000000441,9.69339370727539
36.25250000000327,9.775749206542969
37.50250000000214,9.85798168182373
38.752500000001,9.936010360717773
40.00249999999986,10.008639335632324
41.252499999998726,10.078567504882812
42.50249999999759,10.151519775390625
43.75249999999645,10.233545303344727
45.002499999995315,10.327399253845215
46.25249999999418,10.429787635803223
47.50249999999304,10.531351089477539
48.752499999991905,10.619996070861816
50.00249999999077,10.685944557189941
51.25249999998963,10.72587776184082
52.502499999988494,10.744182586669922
53.75249999998736,10.750853538513184
55.00249999998622,10.756858825683594
56.25249999998508,10.76882553100586
57.50249999998395,10.785651206970215
58.75249999998281,10.799074172973633
60.00249999998167,10.79790210723877
61.252499999980536,10.773431777954102
62.5024999999794,10.723372459411621
63.75249999997826,10.653169631958008
65.00249999997713,10.574952125549316
66.252499999976,10.504630088806152
67.50249999997486,10.457568168640137
68.75249999997372,10.443758964538574
70.00249999997258,10.464371681213379
71.25249999997145,10.511634826660156
72.50249999997031,10.57237720489502
73.75249999996917,10.633179664611816
75.00249999996804,10.684520721435547
76.2524999999669,10.722554206848145
77.50249999996576,10.74857234954834
78.75249999996463,10.766976356506348
80.00249999996349,10.782706260681152
81.25249999996235,10.798989295959473
82.50249999996122,10.816228866577148
83.75249999996008,10.832307815551758
85.00249999995894,10.844051361083984
86.2524999999578,10.848870277404785
87.50249999995667,10.845795631408691
88.75249999995553,10.835532188415527
90.0024999999544,10.819769859313965
91.25249999995326,10.800376892089844
92.50249999995212,10.77890396118164
93.75249999995098,10.75657844543457
95.00249999994985,10.734559059143066
96.25249999994871,10.714092254638672
97.50249999994757,10.69639778137207
98.75249999994644,10.682311058044434
100.0024999999453,10.671932220458984
101.25249999994416,10.664548873901367
102.50249999994303,10.658917427062988
103.75249999994189,10.653685569763184
105.00249999994075,10.647730827331543
106.25249999993962,10.640276908874512
107.50249999993848,10.630871772766113
108.75249999993734,10.619385719299316
110.0024999999362,10.606025695800781
111.25249999993507,10.591316223144531
112.50249999993393,10.575977325439453
113.7524999999328,10.560708045959473
115.00249999993166,10.545987129211426
116.25249999993052,10.531983375549316
117.50249999992938,10.518691062927246
118.75249999992825,10.50615406036377
120.00249999992711,10.49462890625
121.25249999992597,10.484480857849121
122.50249999992484,10.475900650024414
123.7524999999237,10.468695640563965
