t,f_circ
0.0025,3.5907877882544128e-09
1.2524999999999844,7.084641571090704e-05
2.5024999999999578,0.0009514167591681595
3.752499999999931,0.0025942782749423265
5.002500000000082,0.0014494474600198449
6.2525000000002775,0.0005562743527092423
7.502500000000473,0.0007863319556373254
8.752500000000401,0.002761758007185979
10.002500000000152,0.03230826956081048
11.252499999999904,0.008883190759662096
12.502499999999655,0.003847741281556758
13.752499999999406,0.0019017851508044347
15.002499999999158,0.00054026861164971
16.25249999999909,0.0005256793427967796
17.502499999999728,0.0011534704606949132
18.752500000000367,0.0010681870450074482
20.002500000001007,0.0006792067859213
21.252500000001646,0.0003792539240651771
22.502500000002286,0.000270591055511868
23.752500000002925,0.00028270668320815615
25.002500000003565,0.00033328476534382617
26.252500000004204,0.0004053158807104015
27.502500000004844,0.000492540712326466
28.752500000005483,0.0005920530277045021
30.002500000006123,0.0007023308565862073
31.252500000006762,0.0008225942271914751
32.502500000006684,0.000952470409876446
33.75250000000555,0.0010919591680176438
35.00250000000441,0.0012413157093663823
36.25250000000327,0.0014011299376038712
37.50250000000214,0.0015723381944709833
38.752500000001,0.0017562785765115768
40.00249999999986,0.0019546842880468753
41.252499999998726,0.0021698575921771605
42.50249999999759,0.002404671573784233
43.75249999999645,0.0026626084034255646
45.002499999995315,0.0029478853317058914
46.25249999999418,0.00326534133523635
47.50249999999304,0.0036201202215918335
48.752499999991905,0.004017191168476945
50.00249999999077,0.004460724391804793
51.25249999998963,0.004953267143748621
52.502499999988494,0.0054956099040558695
53.75249999998736,0.006086659864839748
55.00249999998622,0.0067232411416982985
56.25249999998508,0.0073985569410460195
57.50249999998395,0.008099127410842387
58.75249999998281,0.008801741809988082
60.00249999998167,0.009473361734500328
61.252499999980536,0.010077338198162814
62.5024999999794,0.010586000012917025
63.75249999997826,0.010992600603532134
65.00249999997713,0.011316966483059203
66.252499999976,0.011600302602519454
67.50249999997486,0.011893545501251029
68.75249999997372,0.012240850144925633
70.00249999997258,0.012659156858589184
71.25249999997145,0.013113302042630648
72.50249999997031,0.013489656594865888
73.75249999996917,0.01357922741914733
75.00249999996804,0.013082687870690925
76.2524999999669,0.011648376885922856
77.50249999996576,0.008949127454217987
78.75249999996463,0.0047909189477420904
80.00249999996349,0.0007760185484755705
81.25249999996235,0.0073066618737968065
82.50249999996122,0.014137676848384685
83.75249999996008,0.0206268390460787
85.00249999995894,0.026248792861517482
86.2524999999578,0.030647630182514072
87.50249999995667,0.03361817424262624
88.75249999995553,0.035061185746664766
90.0024999999544,0.03495423257297629
91.25249999995326,0.033349525978617574
92.50249999995212,0.030389058355950658
93.75249999995098,0.02631498060605759
95.00249999994985,0.021446894781651533
96.25249999994871,0.016120242945212495
97.50249999994757,0.010609813252878087
98.75249999994644,0.00507447159361762
100.0024999999453,0.00045301171480550696
101.25249999994416,0.00592071444239029
102.50249999994303,0.011250984615388697
103.75249999994189,0.016310631012770832
105.00249999994075,0.020872464885130747
106.25249999993962,0.02468693788794676
107.50249999993848,0.027579715966148603
108.75249999993734,0.029518938646690227
110.0024999999362,0.03063730089452531
111.25249999993507,0.031212413199209893
112.50249999993393,0.03162539178627638
113.7524999999328,0.032282071883684406
115.00249999993166,0.03354977531892096
116.25249999993052,0.0357422049270066
117.50249999992938,0.039277178428614216
118.75249999992825,0.045350260271310616
120.00249999992711,0.05896983579811136
121.25249999992597,0.11106104197719158
122.50249999992484,0.3216734384453686
123.7524999999237,0.08696294592823901
