t,h_plus
0.0025,3.875553523935427e-12
1.2524999999999844,8.446879805855401e-13
2.5024999999999578,1.3391807107687725e-10
3.752499999999931,1.6102900346481874e-08
5.002500000000082,3.1454167128686095e-06
6.2525000000002775,0.00042740628123283386
7.502500000000473,0.03339288383722305
8.752500000000401,1.6408939361572266
10.002500000000152,36.71533966064453
11.252499999999904,138.6157684326172
12.502499999999655,298.5649108886719
13.752499999999406,5543.25390625
15.002499999999158,39261.1640625
16.25249999999909,29022.451171875
17.502499999999728,16313.150390625
18.752500000000367,9933.1884765625
20.002500000001007,13104.720703125
21.252500000001646,7607.50146484375
22.502500000002286,1120.111328125
23.752500000002925,-3193.1240234375
25.002500000003565,-4864.134765625
26.252500000004204,-4889.31201171875
27.502500000004844,-3864.50830078125
28.752500000005483,-2749.4873046875
30.002500000006123,-1419.185546875
31.252500000006762,-130.90576171875
32.502500000006684,881.154296875
33.75250000000555,1520.880859375
35.00250000000441,1963.19384765625
36.25250000000327,2435.8427734375
37.50250000000214,3028.7822265625
38.752500000001,3683.216796875
40.00249999999986,4243.11669921875
41.252499999998726,4571.35986328125
42.50249999999759,4831.494140625
43.75249999999645,5049.2802734375
45.002499999995315,5191.779296875
46.25249999999418,5232.74951171875
47.50249999999304,5284.322265625
48.752499999991905,5280.28173828125
50.00249999999077,5220.85693359375
51.25249999998963,5141.611328125
52.502499999988494,5070.0673828125
53.75249999998736,4965.42431640625
55.00249999998622,4845.900390625
56.25249999998508,4678.3818359375
57.50249999998395,4488.1357421875
58.75249999998281,4319.0869140625
60.00249999998167,4163.60009765625
61.252499999980536,3970.54296875
62.5024999999794,3717.2744140625
63.75249999997826,3466.05078125
65.00249999997713,3239.87060546875
66.252499999976,3041.51171875
67.50249999997486,2873.9052734375
68.75249999997372,2734.9765625
70.00249999997258,2607.158203125
71.25249999997145,2465.326171875
72.50249999997031,2289.1728515625
73.75249999996917,2086.38232421875
75.00249999996804,1873.74755859375
76.2524999999669,1658.3115234375
77.50249999996576,1427.94384765625
78.75249999996463,1192.8955078125
80.00249999996349,952.56396484375
81.25249999996235,707.96728515625
82.50249999996122,503.9189453125
83.75249999996008,318.0703125
85.00249999995894,125.34765625
86.2524999999578,-69.56591796875
87.50249999995667,-282.8232421875
88.75249999995553,-523.9384765625
90.0024999999544,-745.6494140625
91.25249999995326,-946.36083984375
92.50249999995212,-1130.80908203125
93.75249999995098,-1302.02685546875
95.00249999994985,-1452.634765625
96.25249999994871,-1608.474609375
97.50249999994757,-1772.62841796875
98.75249999994644,-1921.6572265625
100.0024999999453,-2042.56298828125
101.25249999994416,-2134.46142578125
102.50249999994303,-2195.7099609375
103.75249999994189,-2243.27197265625
105.00249999994075,-2282.88623046875
106.25249999993962,-2313.623046875
107.50249999993848,-2353.02197265625
108.75249999993734,-2407.76513671875
110.0024999999362,-2471.6435546875
111.25249999993507,-2545.34912109375
112.50249999993393,-2613.3564453125
113.7524999999328,-2675.310546875
115.00249999993166,-2739.93359375
116.25249999993052,-2814.4990234375
117.50249999992938,-2875.7138671875
118.75249999992825,-2917.60986328125
120.00249999992711,-2959.91259765625
121.25249999992597,-2988.12744140625
122.50249999992484,-3005.09228515625
123.7524999999237,-3009.12255859375
