t,h_cross
0.0025,-5.421010862427522e-20
1.2524999999999844,4.573977915173222e-20
2.5024999999999578,-3.7643499428696714e-16
3.752499999999931,-7.123746037507317e-13
5.002500000000082,-1.3608172366730287e-09
6.2525000000002775,-1.986954885069281e-06
7.502500000000473,-0.00032370747067034245
8.752500000000401,-0.019587919116020203
10.002500000000152,-0.3194378614425659
11.252499999999904,-0.5858712196350098
12.502499999999655,0.5904388427734375
13.752499999999406,26.7972412109375
15.002499999999158,-394.704345703125
16.25249999999909,1882.297607421875
17.502499999999728,1738.898193359375
18.752500000000367,-357.197998046875
20.002500000001007,-1237.3876953125
21.252500000001646,1629.126708984375
22.502500000002286,3602.067626953125
23.752500000002925,3302.31982421875
25.002500000003565,2669.939208984375
26.252500000004204,1991.96435546875
27.502500000004844,1519.892578125
28.752500000005483,1432.149658203125
30.002500000006123,1397.08056640625
31.252500000006762,1644.413818359375
32.502500000006684,2197.72412109375
33.75250000000555,2841.28369140625
35.00250000000441,3405.22509765625
36.25250000000327,3776.966064453125
37.50250000000214,3943.5986328125
38.752500000001,3956.099609375
40.00249999999986,3867.367431640625
41.252499999998726,3718.23095703125
42.50249999999759,3588.711181640625
43.75249999999645,3529.19677734375
45.002499999995315,3487.421142578125
46.25249999999418,3449.086181640625
47.50249999999304,3411.220947265625
48.752499999991905,3442.114990234375
50.00249999999077,3543.1103515625
51.25249999998963,3664.097412109375
52.502499999988494,3766.0166015625
53.75249999998736,3868.17431640625
55.00249999998622,3984.22607421875
56.25249999998508,4094.50439453125
57.50249999998395,4163.48583984375
58.75249999998281,4175.96484375
60.00249999998167,4157.5966796875
61.252499999980536,4159.7080078125
62.5024999999794,4178.88330078125
63.75249999997826,4171.01318359375
65.00249999997713,4105.4033203125
66.252499999976,3998.072998046875
67.50249999997486,3870.544921875
68.75249999997372,3736.73779296875
70.00249999997258,3583.92138671875
71.25249999997145,3440.788818359375
72.50249999997031,3348.834716796875
73.75249999996917,3279.8935546875
75.00249999996804,3184.87158203125
76.2524999999669,3042.0400390625
77.50249999996576,2898.79541015625
78.75249999996463,2815.974609375
80.00249999996349,2796.79150390625
81.25249999996235,2807.3447265625
82.50249999996122,2811.966796875
83.75249999996008,2812.57177734375
85.00249999995894,2819.70263671875
86.2524999999578,2818.14892578125
87.50249999995667,2824.69189453125
88.75249999995553,2856.4794921875
90.0024999999544,2882.28271484375
91.25249999995326,2925.2236328125
92.50249999995212,2960.8525390625
93.75249999995098,2980.19873046875
95.00249999994985,2984.1513671875
96.25249999994871,2979.15625
97.50249999994757,2962.3173828125
98.75249999994644,2953.43994140625
100.0024999999453,2926.07958984375
101.25249999994416,2879.46484375
102.50249999994303,2819.388671875
103.75249999994189,2752.359375
105.00249999994075,2681.57958984375
106.25249999993962,2617.2490234375
107.50249999993848,2562.4150390625
108.75249999993734,2511.52685546875
110.0024999999362,2462.10107421875
111.25249999993507,2418.01708984375
112.50249999993393,2384.18798828125
113.7524999999328,2350.64599609375
115.00249999993166,2314.6533203125
116.25249999993052,2273.87939453125
117.50249999992938,2239.015625
118.75249999992825,2210.35986328125
120.00249999992711,2178.0283203125
121.25249999992597,2149.27099609375
122.50249999992484,2126.876953125
123.7524999999237,2103.068115234375
