t,h_plus
0.0025,0.0003166069509461522
1.2524999999999844,0.00039484235458076
2.5024999999999578,0.029967639595270157
3.752499999999931,3.478440999984741
5.002500000000082,60.61119842529297
6.2525000000002775,60.685401916503906
7.502500000000473,44.65674591064453
8.752500000000401,19.010940551757812
10.002500000000152,2.398686170578003
11.252499999999904,-9.76624584197998
12.502499999999655,-22.740047454833984
13.752499999999406,-40.20263671875
15.002499999999158,-59.4184455871582
16.25249999999909,-71.86000061035156
17.502499999999728,-73.67196655273438
18.752500000000367,-69.23007202148438
20.002500000001007,-63.6326904296875
21.252500000001646,-62.090362548828125
22.502500000002286,-65.03819274902344
23.752500000002925,-70.43502807617188
25.002500000003565,-77.259765625
26.252500000004204,-85.36212921142578
27.502500000004844,-94.7544937133789
28.752500000005483,-105.52249145507812
30.002500000006123,-117.7939453125
31.252500000006762,-131.7262725830078
32.502500000006684,-147.50038146972656
33.75250000000555,-165.31689453125
35.00250000000441,-185.3929901123047
36.25250000000327,-207.95901489257812
37.50250000000214,-233.25430297851562
38.752500000001,-261.52197265625
40.00249999999986,-293.0025634765625
41.252499999998726,-327.9261779785156
42.50249999999759,-366.5040283203125
43.75249999999645,-408.91998291015625
45.002499999995315,-455.32513427734375
46.25249999999418,-505.83746337890625
47.50249999999304,-560.5494384765625
48.752499999991905,-619.5421142578125
50.00249999999077,-682.9005126953125
51.25249999998963,-750.7236328125
52.502499999988494,-823.130615234375
53.75249999998736,-900.2825927734375
55.00249999998622,-982.4581909179688
56.25249999998508,-1070.2044677734375
57.50249999998395,-1164.521240234375
58.75249999998281,-1266.9193115234375
60.00249999998167,-1379.1116943359375
61.252499999980536,-1502.153076171875
62.5024999999794,-1635.134033203125
63.75249999997826,-1773.917236328125
65.00249999997713,-1910.60791015625
66.252499999976,-2034.2742919921875
67.50249999997486,-2132.9482421875
68.75249999997372,-2196.41259765625
70.00249999997258,-2218.9375
71.25249999997145,-2201.058837890625
72.50249999997031,-2149.75927734375
73.75249999996917,-2077.01708984375
75.00249999996804,-1997.323974609375
76.2524999999669,-1925.073486328125
77.50249999996576,-1872.4505615234375
78.75249999996463,-1848.04296875
80.00249999996349,-1856.055419921875
81.25249999996235,-1895.9761962890625
82.50249999996122,-1962.6663818359375
83.75249999996008,-2047.007568359375
85.00249999995894,-2137.23828125
86.2524999999578,-2220.865234375
87.50249999995667,-2286.783203125
88.75249999995553,-2327.078857421875
90.0024999999544,-2338.045166015625
91.25249999995326,-2320.25
92.50249999995212,-2277.804931640625
93.75249999995098,-2217.20703125
95.00249999994985,-2146.096923828125
96.25249999994871,-2072.14404296875
97.50249999994757,-2002.070068359375
98.75249999994644,-1940.801513671875
100.0024999999453,-1890.77978515625
101.25249999994416,-1851.50048828125
102.50249999994303,-1819.43505859375
103.75249999994189,-1788.4686279296875
105.00249999994075,-1750.872314453125
106.25249999993962,-1698.6978759765625
107.50249999993848,-1625.2646484375
108.75249999993734,-1526.44775390625
110.0024999999362,-1401.4910888671875
111.25249999993507,-1253.195068359375
112.50249999993393,-1087.4652099609375
113.7524999999328,-912.3665771484375
115.00249999993166,-736.8275146484375
116.25249999993052,-569.2345581054688
117.50249999992938,-416.248291015625
118.75249999992825,-281.85357666015625
120.00249999992711,-166.8665771484375
121.25249999992597,-68.870849609375
122.50249999992484,17.31243896484375
123.7524999999237,98.6265869140625
