t,binary_sep
0.0025,2.7680459022521973
1.2524999999999844,2.7098522186279297
2.5024999999999578,2.753714084625244
3.752499999999931,3.7155678272247314
5.002500000000082,5.529035568237305
6.2525000000002775,7.0978875160217285
7.502500000000473,8.173779487609863
8.752500000000401,8.738179206848145
10.002500000000152,8.84185791015625
11.252499999999904,9.216769218444824
12.502499999999655,9.959782600402832
13.752499999999406,11.076796531677246
15.002499999999158,11.709168434143066
16.25249999999909,11.52970027923584
17.502499999999728,11.430343627929688
18.752500000000367,11.598103523254395
20.002500000001007,11.658670425415039
21.252500000001646,11.647915840148926
22.502500000002286,11.60177993774414
23.752500000002925,11.58713150024414
25.002500000003565,11.59686279296875
26.252500000004204,11.591192245483398
27.502500000004844,11.575331687927246
28.752500000005483,11.55897045135498
30.002500000006123,11.544757843017578
31.252500000006762,11.532944679260254
32.502500000006684,11.52174186706543
33.75250000000555,11.512015342712402
35.00250000000441,11.502472877502441
36.25250000000327,11.492055892944336
37.50250000000214,11.480703353881836
38.752500000001,11.468934059143066
40.00249999999986,11.456867218017578
41.252499999998726,11.44416618347168
42.50249999999759,11.431246757507324
43.75249999999645,11.418294906616211
45.002499999995315,11.405362129211426
46.25249999999418,11.392502784729004
47.50249999999304,11.379997253417969
48.752499999991905,11.36796760559082
50.00249999999077,11.356260299682617
51.25249999998963,11.344884872436523
52.502499999988494,11.333985328674316
53.75249999998736,11.323582649230957
55.00249999998622,11.31363296508789
56.25249999998508,11.30401611328125
57.50249999998395,11.294706344604492
58.75249999998281,11.28573226928711
60.00249999998167,11.277064323425293
61.252499999980536,11.26867961883545
62.5024999999794,11.260552406311035
63.75249999997826,11.252599716186523
65.00249999997713,11.244869232177734
66.252499999976,11.2373628616333
67.50249999997486,11.230095863342285
68.75249999997372,11.223006248474121
70.00249999997258,11.216078758239746
71.25249999997145,11.209304809570312
72.50249999997031,11.202713966369629
73.75249999996917,11.19631290435791
75.00249999996804,11.190064430236816
76.2524999999669,11.183966636657715
77.50249999996576,11.178001403808594
78.75249999996463,11.172143936157227
80.00249999996349,11.166386604309082
81.25249999996235,11.160701751708984
82.50249999996122,11.15507984161377
83.75249999996008,11.149541854858398
85.00249999995894,11.144078254699707
86.2524999999578,11.138729095458984
87.50249999995667,11.133491516113281
88.75249999995553,11.128374099731445
90.0024999999544,11.123371124267578
91.25249999995326,11.118462562561035
92.50249999995212,11.113628387451172
93.75249999995098,11.108870506286621
95.00249999994985,11.104198455810547
96.25249999994871,11.099632263183594
97.50249999994757,11.09518051147461
98.75249999994644,11.0908203125
100.0024999999453,11.086594581604004
101.25249999994416,11.08251667022705
102.50249999994303,11.078566551208496
103.75249999994189,11.07473087310791
105.00249999994075,11.071009635925293
106.25249999993962,11.067363739013672
107.50249999993848,11.063783645629883
108.75249999993734,11.060264587402344
110.0024999999362,11.056822776794434
111.25249999993507,11.05346393585205
112.50249999993393,11.050165176391602
113.7524999999328,11.046917915344238
115.00249999993166,11.043721199035645
116.25249999993052,11.04058837890625
117.50249999992938,11.037529945373535
118.75249999992825,11.034536361694336
120.00249999992711,11.031615257263184
121.25249999992597,11.028765678405762
122.50249999992484,11.025979995727539
123.7524999999237,11.02324104309082
