t,h_cross
0.0025,2.2737367544323206e-13
1.2524999999999844,-7.986500349943526e-11
2.5024999999999578,-3.1388299248646945e-07
3.752499999999931,-0.00026530935429036617
5.002500000000082,-0.03120937943458557
6.2525000000002775,-0.02199685573577881
7.502500000000473,-0.004999995231628418
8.752500000000401,-0.005712628364562988
10.002500000000152,-0.008495569229125977
11.252499999999904,-0.010553359985351562
12.502499999999655,-0.013785839080810547
13.752499999999406,-0.020433902740478516
15.002499999999158,-0.03512692451477051
16.25249999999909,-0.061940670013427734
17.502499999999728,-0.0929570198059082
18.752500000000367,-0.10248732566833496
20.002500000001007,-0.07946956157684326
21.252500000001646,-0.04720604419708252
22.502500000002286,-0.03040492534637451
23.752500000002925,-0.030370354652404785
25.002500000003565,-0.03266477584838867
26.252500000004204,-0.028860807418823242
27.502500000004844,-0.02112114429473877
28.752500000005483,-0.01320493221282959
30.002500000006123,-0.007830321788787842
31.252500000006762,-0.004959434270858765
32.502500000006684,-0.0048649609088897705
33.75250000000555,-0.007816493511199951
35.00250000000441,-0.013933271169662476
36.25250000000327,-0.023155808448791504
37.50250000000214,-0.03496772050857544
38.752500000001,-0.048221930861473083
40.00249999999986,-0.061414435505867004
41.252499999998726,-0.07334264367818832
42.50249999999759,-0.08349025249481201
43.75249999999645,-0.0919673815369606
45.002499999995315,-0.09916165471076965
46.25249999999418,-0.10549571365118027
47.50249999999304,-0.1112285777926445
48.752499999991905,-0.11648419499397278
50.00249999999077,-0.12128322571516037
51.25249999998963,-0.12560094892978668
52.502499999988494,-0.12937355041503906
53.75249999998736,-0.13250429928302765
55.00249999998622,-0.13493719696998596
56.25249999998508,-0.13665321469306946
57.50249999998395,-0.13766035437583923
58.75249999998281,-0.1379888653755188
60.00249999998167,-0.1376957893371582
61.252499999980536,-0.13686692714691162
62.5024999999794,-0.13560283184051514
63.75249999997826,-0.13399925827980042
65.00249999997713,-0.13216088712215424
66.252499999976,-0.13017380237579346
67.50249999997486,-0.1281045377254486
68.75249999997372,-0.125983327627182
70.00249999997258,-0.12381856143474579
71.25249999997145,-0.12160360813140869
72.50249999997031,-0.11932659149169922
73.75249999996917,-0.11698009818792343
75.00249999996804,-0.1145748421549797
76.2524999999669,-0.11212529242038727
77.50249999996576,-0.10964976251125336
78.75249999996463,-0.10716395825147629
80.00249999996349,-0.10468107461929321
81.25249999996235,-0.10222063213586807
82.50249999996122,-0.09979846328496933
83.75249999996008,-0.09742933511734009
85.00249999995894,-0.09512254595756531
86.2524999999578,-0.09287919104099274
87.50249999995667,-0.0907021313905716
88.75249999995553,-0.08858691155910492
90.0024999999544,-0.0865325778722763
91.25249999995326,-0.0845416709780693
92.50249999995212,-0.08261054754257202
93.75249999995098,-0.08073918521404266
95.00249999994985,-0.07892993092536926
96.25249999994871,-0.07717925310134888
97.50249999994757,-0.07548663020133972
98.75249999994644,-0.07385268807411194
100.0024999999453,-0.07227785885334015
101.25249999994416,-0.07075533270835876
102.50249999994303,-0.06928058713674545
103.75249999994189,-0.06785241514444351
105.00249999994075,-0.06647142022848129
106.25249999993962,-0.06513522565364838
107.50249999993848,-0.06384339183568954
108.75249999993734,-0.06258882582187653
110.0024999999362,-0.0613722950220108
111.25249999993507,-0.06018906831741333
112.50249999993393,-0.05903152376413345
113.7524999999328,-0.05790117383003235
115.00249999993166,-0.056804314255714417
116.25249999993052,-0.05574043467640877
117.50249999992938,-0.054703012108802795
118.75249999992825,-0.05369189381599426
120.00249999992711,-0.05271042138338089
121.25249999992597,-0.051759637892246246
122.50249999992484,-0.05083582550287247
123.7524999999237,-0.04993480443954468
