t,h_plus
0.0025,4.126576641283464e-06
1.2524999999999844,1.7260699678445235e-06
2.5024999999999578,0.0003122338093817234
3.752499999999931,0.04461105540394783
5.002500000000082,5.4707841873168945
6.2525000000002775,79.09607696533203
7.502500000000473,83.09148406982422
8.752500000000401,64.31834411621094
10.002500000000152,32.59910202026367
11.252499999999904,11.069480895996094
12.502499999999655,-8.393104553222656
13.752499999999406,-42.585289001464844
15.002499999999158,-101.44943237304688
16.25249999999909,-176.8048858642578
17.502499999999728,-228.21795654296875
18.752500000000367,-246.32440185546875
20.002500000001007,-258.483642578125
21.252500000001646,-283.019287109375
22.502500000002286,-314.7479248046875
23.752500000002925,-351.9863586425781
25.002500000003565,-394.9396057128906
26.252500000004204,-444.1964111328125
27.502500000004844,-500.53948974609375
28.752500000005483,-564.89501953125
30.002500000006123,-638.3154296875
31.252500000006762,-721.9701538085938
32.502500000006684,-817.13232421875
33.75250000000555,-925.1566162109375
35.00250000000441,-1047.444091796875
36.25250000000327,-1185.38623046875
37.50250000000214,-1340.28564453125
38.752500000001,-1513.2454833984375
40.00249999999986,-1705.03125
41.252499999998726,-1915.8984375
42.50249999999759,-2145.40234375
43.75249999999645,-2392.205078125
45.002499999995315,-2653.90771484375
46.25249999999418,-2926.942626953125
47.50249999999304,-3206.5751953125
48.752499999991905,-3487.0400390625
50.00249999999077,-3761.8369140625
51.25249999998963,-4024.187255859375
52.502499999988494,-4267.60595703125
53.75249999998736,-4486.5361328125
55.00249999998622,-4676.9443359375
56.25249999998508,-4836.7822265625
57.50249999998395,-4966.19921875
58.75249999998281,-5067.4560546875
60.00249999998167,-5144.4541015625
61.252499999980536,-5201.93115234375
62.5024999999794,-5244.4326171875
63.75249999997826,-5275.22265625
65.00249999997713,-5295.41796875
66.252499999976,-5303.55126953125
67.50249999997486,-5295.8515625
68.75249999997372,-5267.2216796875
70.00249999997258,-5212.75927734375
71.25249999997145,-5129.3310546875
72.50249999997031,-5016.740234375
73.75249999996917,-4878.14501953125
75.00249999996804,-4719.67236328125
76.2524999999669,-4549.416015625
77.50249999996576,-4376.189453125
78.75249999996463,-4208.4365234375
80.00249999996349,-4053.4130859375
81.25249999996235,-3916.64453125
82.50249999996122,-3801.44580078125
83.75249999996008,-3708.46923828125
85.00249999995894,-3635.385009765625
86.2524999999578,-3576.92431640625
87.50249999995667,-3525.4296875
88.75249999995553,-3471.904296875
90.0024999999544,-3407.46142578125
91.25249999995326,-3324.8525390625
92.50249999995212,-3219.791259765625
93.75249999995098,-3091.8310546875
95.00249999994985,-2944.58056640625
96.25249999994871,-2785.197265625
97.50249999994757,-2623.096923828125
98.75249999994644,-2468.197021484375
100.0024999999453,-2329.0966796875
101.25249999994416,-2211.6806640625
102.50249999994303,-2118.43115234375
103.75249999994189,-2048.4599609375
105.00249999994075,-1998.0498046875
106.25249999993962,-1961.4267578125
107.50249999993848,-1931.71728515625
108.75249999993734,-1902.0205078125
110.0024999999362,-1866.555419921875
111.25249999993507,-1821.74609375
112.50249999993393,-1766.9453125
113.7524999999328,-1704.5675048828125
115.00249999993166,-1639.498291015625
116.25249999993052,-1577.972900390625
117.50249999992938,-1526.1761474609375
118.75249999992825,-1489.02783203125
120.00249999992711,-1469.3360595703125
121.25249999992597,-1467.450439453125
122.50249999992484,-1481.373291015625
123.7524999999237,-1507.225341796875
