t,total_mass
0.0025,1.3091459274291992
1.2524999999999844,1.2184171676635742
2.5024999999999578,1.30271315574646
3.752499999999931,2.3768081665039062
5.002500000000082,10.367151260375977
6.2525000000002775,68.25879669189453
7.502500000000473,529.05517578125
8.752500000000401,3661.984130859375
10.002500000000152,12770.9912109375
11.252499999999904,23535.0
12.502499999999655,35689.51171875
13.752499999999406,53118.328125
15.002499999999158,79421.6875
16.25249999999909,100119.359375
17.502499999999728,112176.46875
18.752500000000367,122619.046875
20.002500000001007,133787.375
21.252500000001646,143770.46875
22.502500000002286,151862.5625
23.752500000002925,159645.453125
25.002500000003565,167959.40625
26.252500000004204,175833.125
27.502500000004844,182666.875
28.752500000005483,188989.734375
30.002500000006123,195141.875
31.252500000006762,201227.390625
32.502500000006684,207269.453125
33.75250000000555,213255.34375
35.00250000000441,219093.84375
36.25250000000327,224724.984375
37.50250000000214,230176.65625
38.752500000001,235472.15625
40.00249999999986,240613.96875
41.252499999998726,245573.203125
42.50249999999759,250325.375
43.75249999999645,254860.84375
45.002499999995315,259168.0625
46.25249999999418,263245.4375
47.50249999999304,267114.8125
48.752499999991905,270786.4375
50.00249999999077,274264.09375
51.25249999998963,277557.84375
52.502499999988494,280682.3125
53.75249999998736,283642.0625
55.00249999998622,286444.3125
56.25249999998508,289102.53125
57.50249999998395,291631.375
58.75249999998281,294039.34375
60.00249999998167,296333.78125
61.252499999980536,298524.25
62.5024999999794,300616.3125
63.75249999997826,302612.5625
65.00249999997713,304519.8125
66.252499999976,306344.25
67.50249999997486,308090.375
68.75249999997372,309762.15625
70.00249999997258,311362.71875
71.25249999997145,312896.875
72.50249999997031,314369.84375
73.75249999996917,315785.03125
75.00249999996804,317147.53125
76.2524999999669,318462.0625
77.50249999996576,319729.6875
78.75249999996463,320950.3125
80.00249999996349,322126.9375
81.25249999996235,323261.46875
82.50249999996122,324355.90625
83.75249999996008,325411.0
85.00249999995894,326430.96875
86.2524999999578,327416.9375
87.50249999995667,328369.3125
88.75249999995553,329289.71875
90.0024999999544,330180.4375
91.25249999995326,331043.53125
92.50249999995212,331880.875
93.75249999995098,332693.5625
95.00249999994985,333481.875
96.25249999994871,334246.46875
97.50249999994757,334989.0
98.75249999994644,335712.0625
100.0024999999453,336415.375
101.25249999994416,337099.625
102.50249999994303,337765.6875
103.75249999994189,338414.8125
105.00249999994075,339048.0625
106.25249999993962,339665.625
107.50249999993848,340267.59375
108.75249999993734,340853.625
110.0024999999362,341425.0625
111.25249999993507,341983.375
112.50249999993393,342529.09375
113.7524999999328,343063.1875
115.00249999993166,343586.15625
116.25249999993052,344097.8125
117.50249999992938,344598.625
118.75249999992825,345089.625
120.00249999992711,345571.125
121.25249999992597,346043.125
122.50249999992484,346506.0
123.7524999999237,346959.59375
