t,total_mass
0.0025,1.28035569190979
1.2524999999999844,1.2195384502410889
2.5024999999999578,1.5690991878509521
3.752499999999931,2.5655407905578613
5.002500000000082,5.539369583129883
6.2525000000002775,13.515049934387207
7.502500000000473,18.815275192260742
8.752500000000401,22.662389755249023
10.002500000000152,25.26279640197754
11.252499999999904,26.162189483642578
12.502499999999655,26.51555824279785
13.752499999999406,26.78656768798828
15.002499999999158,27.1130313873291
16.25249999999909,27.58485221862793
17.502499999999728,28.254600524902344
18.752500000000367,29.11310577392578
20.002500000001007,30.13516616821289
21.252500000001646,31.302913665771484
22.502500000002286,32.507476806640625
23.752500000002925,33.558616638183594
25.002500000003565,34.420654296875
26.252500000004204,35.16117858886719
27.502500000004844,35.77033996582031
28.752500000005483,36.18915939331055
30.002500000006123,36.42216491699219
31.252500000006762,36.52300262451172
32.502500000006684,36.54551315307617
33.75250000000555,36.527809143066406
35.00250000000441,36.49643325805664
36.25250000000327,36.471466064453125
37.50250000000214,36.46685028076172
38.752500000001,36.49036407470703
40.00249999999986,36.54334259033203
41.252499999998726,36.62073516845703
42.50249999999759,36.71324920654297
43.75249999999645,36.810672760009766
45.002499999995315,36.90470886230469
46.25249999999418,36.990562438964844
47.50249999999304,37.06658172607422
48.752499999991905,37.13331985473633
50.00249999999077,37.192989349365234
51.25249999998963,37.24830627441406
52.502499999988494,37.301361083984375
53.75249999998736,37.35349655151367
55.00249999998622,37.405364990234375
56.25249999998508,37.456939697265625
57.50249999998395,37.507869720458984
58.75249999998281,37.55781555175781
60.00249999998167,37.60664367675781
61.252499999980536,37.654361724853516
62.5024999999794,37.70109176635742
63.75249999997826,37.7469596862793
65.00249999997713,37.792076110839844
66.252499999976,37.83655548095703
67.50249999997486,37.88050079345703
68.75249999997372,37.923919677734375
70.00249999997258,37.96681594848633
71.25249999997145,38.00921630859375
72.50249999997031,38.051231384277344
73.75249999996917,38.093040466308594
75.00249999996804,38.13484573364258
76.2524999999669,38.17689514160156
77.50249999996576,38.21935272216797
78.75249999996463,38.26233673095703
80.00249999996349,38.30582809448242
81.25249999996235,38.34966278076172
82.50249999996122,38.39362335205078
83.75249999996008,38.43737030029297
85.00249999995894,38.48060607910156
86.2524999999578,38.52313995361328
87.50249999995667,38.56500244140625
88.75249999995553,38.60633850097656
90.0024999999544,38.64733123779297
91.25249999995326,38.68809509277344
92.50249999995212,38.72877502441406
93.75249999995098,38.76947021484375
95.00249999994985,38.810272216796875
96.25249999994871,38.85122299194336
97.50249999994757,38.892330169677734
98.75249999994644,38.933650970458984
100.0024999999453,38.975250244140625
101.25249999994416,39.017173767089844
102.50249999994303,39.059478759765625
103.75249999994189,39.10221862792969
105.00249999994075,39.14542770385742
106.25249999993962,39.18910598754883
107.50249999993848,39.233253479003906
108.75249999993734,39.27784729003906
110.0024999999362,39.32286834716797
111.25249999993507,39.36829376220703
112.50249999993393,39.414100646972656
113.7524999999328,39.46028137207031
115.00249999993166,39.5068359375
116.25249999993052,39.553749084472656
117.50249999992938,39.60102081298828
118.75249999992825,39.648651123046875
120.00249999992711,39.696678161621094
121.25249999992597,39.74513626098633
122.50249999992484,39.79404830932617
123.7524999999237,39.84345245361328
