t,central_lapse
0.0025,0.1999901384115219
1.2524999999999844,0.1862141638994217
2.5024999999999578,0.1616799682378769
3.752499999999931,0.14332422614097595
5.002500000000082,0.13148804008960724
6.2525000000002775,0.12480383366346359
7.502500000000473,0.1217518150806427
8.752500000000401,0.12106070667505264
10.002500000000152,0.1218005046248436
11.252499999999904,0.12333214282989502
12.502499999999655,0.12523247301578522
13.752499999999406,0.12723113596439362
15.002499999999158,0.12916217744350433
16.25249999999909,0.1309301257133484
17.502499999999728,0.13248495757579803
18.752500000000367,0.13380636274814606
20.002500000001007,0.13489258289337158
21.252500000001646,0.13575291633605957
22.502500000002286,0.13640308380126953
23.752500000002925,0.1368619203567505
25.002500000003565,0.1371491253376007
26.252500000004204,0.13728450238704681
27.502500000004844,0.13728678226470947
28.752500000005483,0.13717347383499146
30.002500000006123,0.13696080446243286
31.252500000006762,0.13666276633739471
32.502500000006684,0.13629254698753357
33.75250000000555,0.1358615607023239
35.00250000000441,0.1353798806667328
36.25250000000327,0.13485628366470337
37.50250000000214,0.13429921865463257
38.752500000001,0.13371481001377106
40.00249999999986,0.1331096738576889
41.252499999998726,0.1324882060289383
42.50249999999759,0.13185623288154602
43.75249999999645,0.13121546804904938
45.002499999995315,0.13056959211826324
46.25249999999418,0.1299215406179428
47.50249999999304,0.12927491962909698
48.752499999991905,0.1286325603723526
50.00249999999077,0.12799231708049774
51.25249999998963,0.1273593306541443
52.502499999988494,0.12673261761665344
53.75249999998736,0.12611450254917145
55.00249999998622,0.12550576031208038
56.25249999998508,0.1249060332775116
57.50249999998395,0.12431630492210388
58.75249999998281,0.12373705208301544
60.00249999998167,0.1231689602136612
61.252499999980536,0.12261214107275009
62.5024999999794,0.12206650525331497
63.75249999997826,0.1215323880314827
65.00249999997713,0.12100990861654282
66.252499999976,0.12049882858991623
67.50249999997486,0.11999934911727905
68.75249999997372,0.11951109766960144
70.00249999997258,0.11903440207242966
71.25249999997145,0.11856874078512192
72.50249999997031,0.1181139275431633
73.75249999996917,0.11767040193080902
75.00249999996804,0.11723754554986954
76.2524999999669,0.1168147549033165
77.50249999996576,0.11640238016843796
78.75249999996463,0.1160002052783966
80.00249999996349,0.11560787260532379
81.25249999996235,0.11522470414638519
82.50249999996122,0.11485139280557632
83.75249999996008,0.11448702961206436
85.00249999995894,0.11413200199604034
86.2524999999578,0.11378540098667145
87.50249999995667,0.11344704031944275
88.75249999995553,0.11311694234609604
90.0024999999544,0.11279534548521042
91.25249999995326,0.11248163878917694
92.50249999995212,0.11217555403709412
93.75249999995098,0.11187694221735
95.00249999994985,0.1115853488445282
96.25249999994871,0.11130065470933914
97.50249999994757,0.11102290451526642
98.75249999994644,0.11075185984373093
100.0024999999453,0.11048723012208939
101.25249999994416,0.11022891104221344
102.50249999994303,0.10997723042964935
103.75249999994189,0.10973145067691803
105.00249999994075,0.10949137806892395
106.25249999993962,0.10925716906785965
107.50249999993848,0.10902813076972961
108.75249999993734,0.10880455374717712
110.0024999999362,0.10858626663684845
111.25249999993507,0.10837260633707047
112.50249999993393,0.10816403478384018
113.7524999999328,0.10796022415161133
115.00249999993166,0.1077609658241272
116.25249999993052,0.10756610333919525
117.50249999992938,0.10737571865320206
118.75249999992825,0.10718987882137299
120.00249999992711,0.10700833797454834
121.25249999992597,0.10683095455169678
122.50249999992484,0.10665769129991531
123.7524999999237,0.10648848861455917
