NX,rho0,V_solid,V_analytic,F_mean,F_std,M_measured,M_std,M_displaced,C_added,time_s
64,0.2,3768,3941.525213619046,0.09951709661167114,0.03237603581858817,4975.854830583557,1618.8017909294083,753.6,6.602779764574783,1.5756864547729492
64,0.4,3768,3941.525213619046,0.19903413100944212,0.0647521091454902,9951.706550472105,3237.60545727451,1507.2,6.602777700684783,1.4413032531738281
64,0.6,3768,3941.525213619046,0.2982666129991412,0.09682250302091042,14913.330649957059,4841.12515104552,2260.7999999999997,6.596483833137412,1.4131150245666504
64,0.8,3768,3941.525213619046,0.3980682246387005,0.12950417815858328,19903.411231935024,6475.208907929164,3014.4,6.60277708065785,1.3343617916107178
64,1.0,3768,3941.525213619046,0.49748256110896666,0.16179200549596326,24874.12805544833,8089.600274798162,3768.0,6.601414027454441,1.3806917667388916
64,1.2,3768,3941.525213619046,0.5965329760188858,0.19364482626868676,29826.648800944287,9682.241313434337,4521.599999999999,6.5964810688571065,1.4337174892425537
64,1.4,3768,3941.525213619046,0.6968597554787993,0.2268865960076876,34842.98777393996,11344.32980038438,5275.2,6.605055310498173,3.0035221576690674
64,1.6,3768,3941.525213619046,0.7961366885652145,0.25900824342587725,39806.83442826072,12950.412171293861,6028.8,6.602779065197174,1.4453155994415283
64,1.8,3768,3941.525213619046,0.8954660508533319,0.29118891890159204,44773.30254266659,14559.4459450796,6782.400000000001,6.601395161398117,1.3949098587036133
64,2.0,3768,3941.525213619046,0.994965090987583,0.3235850702162149,49748.25454937915,16179.253510810744,7536.0,6.6014138202467025,1.3193533420562744
96,0.2,12940,13302.64759596428,0.23305245027411728,0.06961633285445791,11652.622513705863,3480.8166427228953,2588.0,4.502558931107366,4.017900466918945
96,0.4,12940,13302.64759596428,0.4661049069991956,0.139232668903483,23305.24534995978,6961.633445174149,5176.0,4.502558993423451,3.894655227661133
96,0.6,12940,13302.64759596428,0.6991633678258707,0.20888654146285976,34958.16839129353,10444.327073142988,7764.0,4.50259768048603,3.907390832901001
96,0.8,12940,13302.64759596428,0.9322098155195514,0.2784653310597953,46610.49077597757,13923.266552989764,10352.0,4.50255900077063,4.201302528381348
96,1.0,12940,13302.64759596428,1.1653979121955733,0.34823145483911633,58269.89560977866,17411.572741955813,12940.0,4.503083122857702,4.449159383773804
96,1.2,12940,13302.64759596428,1.3983267246000468,0.41777308651729195,69916.33623000233,20888.654325864594,15528.0,4.502597644899686,4.300864934921265
96,1.4,12940,13302.64759596428,1.6318235117072861,0.4877968412655076,81591.1755853643,24389.842063275377,18116.0,4.503818480092973,5.847207546234131
96,1.6,12940,13302.64759596428,1.864419604068001,0.5569306793231167,93220.98020340005,27846.533966155832,20704.0,4.502558935635628,4.0074989795684814
96,1.8,12940,13302.64759596428,2.0975457284847896,0.6265955331285108,104877.28642423947,31329.776656425536,23292.0,4.502717088452665,3.9097983837127686
96,2.0,12940,13302.64759596428,2.330795839180549,0.6964629202817728,116539.79195902743,34823.14601408864,25880.0,4.503083151430735,3.9217593669891357
128,0.2,30976,31532.20170895237,0.43676965713500976,0.11958978743839258,21838.482856750485,5979.489371919628,6195.200000000001,3.5250650272389077,10.284563302993774
128,0.4,30976,31532.20170895237,0.8735393123577039,0.23918022877820913,43676.96561788519,11959.011438910455,12390.400000000001,3.5250650195219833,11.42337703704834
