freq,omega,power,mass_GeV
0.09531250,0.59886610,1.89660411e-01,635.4167
0.09609375,0.60377484,3.74576197e-01,640.6250
0.09687500,0.60868358,8.07497114e-01,645.8333
0.09765625,0.61359232,1.51929782e+00,651.0417
0.09843750,0.61850105,2.49526792e+00,656.2500
0.09921875,0.62340979,3.67378302e+00,661.4583
0.10000000,0.62831853,4.95615926e+00,666.6667
0.10078125,0.63322727,6.22481335e+00,671.8750
0.10156250,0.63813601,7.36461315e+00,677.0833
0.10234375,0.64304475,8.28170492e+00,682.2917
0.10312500,0.64795348,8.91529970e+00,687.5000
0.10390625,0.65286222,9.24042553e+00,692.7083
0.10468750,0.65777096,9.26259430e+00,697.9167
0.10546875,0.66267970,9.00767854e+00,703.1250
0.10625000,0.66758844,8.51129274e+00,708.3333
0.10703125,0.67249718,7.81138633e+00,713.5417
0.10781250,0.67740592,6.94591901e+00,718.7500
0.10859375,0.68231465,5.95515888e+00,723.9583
0.10937500,0.68722339,4.88620237e+00,729.1667
0.11015625,0.69213213,3.79644758e+00,734.3750
0.11093750,0.69704087,2.75321182e+00,739.5833
0.11171875,0.70194961,1.82822973e+00,744.7917
0.11250000,0.70685835,1.08778567e+00,750.0000
0.11328125,0.71176709,5.80976837e-01,755.2083
0.11406250,0.71667582,3.29469510e-01,760.4167
0.11484375,0.72158456,3.21840676e-01,765.6250
0.11562500,0.72649330,5.14337373e-01,770.8333
0.11640625,0.73140204,8.38103344e-01,776.0417
0.11718750,0.73631078,1.21121474e+00,781.2500
0.11796875,0.74121952,1.55274767e+00,786.4583
0.11875000,0.74612826,1.79583902e+00,791.6667
0.11953125,0.75103699,1.89726313e+00,796.8750
0.12031250,0.75594573,1.84214763e+00,802.0833
0.12109375,0.76085447,1.64368920e+00,807.2917
0.12187500,0.76576321,1.33873744e+00,812.5000
0.12265625,0.77067195,9.80673512e-01,817.7083
0.12343750,0.77558069,6.31092396e-01,822.9167
0.12421875,0.78048942,3.51536336e-01,828.1250
0.12500000,0.78539816,1.96127474e-01,833.3333
0.12578125,0.79030690,2.05596085e-01,838.5417
0.12656250,0.79521564,4.02994008e-01,843.7500
0.12734375,0.80012438,7.91310901e-01,848.9583
0.12812500,0.80503312,1.35318677e+00,854.1667
0.12890625,0.80994186,2.05283253e+00,859.3750
0.12968750,0.81485059,2.84006674e+00,864.5833
0.13046875,0.81975933,3.65606254e+00,869.7917
0.13125000,0.82466807,4.44005792e+00,875.0000
0.13203125,0.82957681,5.13603668e+00,880.2083
0.13281250,0.83448555,5.69834253e+00,885.4167
0.13359375,0.83939429,6.09539135e+00,890.6250
0.13437500,0.84430303,6.31105819e+00,895.8333
0.13515625,0.84921176,6.34382737e+00,901.0417
0.13593750,0.85412050,6.20425883e+00,906.2500
0.13671875,0.85902924,5.91161119e+00,911.4583
0.13750000,0.86393798,5.49049749e+00,916.6667
0.13828125,0.86884672,4.96824132e+00,921.8750
0.13906250,0.87375546,4.37323143e+00,927.0833
0.13984375,0.87866420,3.73417079e+00,932.2917
0.14062500,0.88357293,3.07981044e+00,937.5000
0.14140625,0.88848167,2.43863911e+00,942.7083
0.14218750,0.89339041,1.83808959e+00,947.9167
0.14296875,0.89829915,1.30307602e+00,953.1250
0.14375000,0.90320789,8.53996663e-01,958.3333
0.14453125,0.90811663,5.04613010e-01,963.5417
0.14531250,0.91302536,2.60357583e-01,968.7500
0.14609375,0.91793410,1.17586193e-01,973.9583
0.14687500,0.92284284,6.40910631e-02,979.1667
0.14765625,0.92775158,8.08928599e-02,984.3750
0.14843750,0.93266032,1.45022376e-01,989.5833
0.14921875,0.93756906,2.32773344e-01,994.7917
0.15000000,0.94247780,3.22815316e-01,1000.0000
0.15078125,0.94738653,3.98615505e-01,1005.2083
0.15156250,0.95229527,4.49803585e-01,1010.4167
0.15234375,0.95720401,4.72365350e-01,1015.6250
0.15312500,0.96211275,4.67800218e-01,1020.8333
0.15390625,0.96702149,4.41563851e-01,1026.0417
0.15468750,0.97193023,4.01204905e-01,1031.2500
0.15546875,0.97683897,3.54589233e-01,1036.4583
0.15625000,0.98174770,3.08508004e-01,1041.6667
0.15703125,0.98665644,2.67826620e-01,1046.8750
0.15781250,0.99156518,2.35190668e-01,1052.0833
0.15859375,0.99647392,2.11195967e-01,1057.2917
0.15937500,1.00138266,1.94868591e-01,1062.5000
0.16015625,1.00629140,1.84287629e-01,1067.7083
0.16093750,1.01120014,1.77206115e-01,1072.9167
0.16171875,1.01610887,1.71566667e-01,1078.1250
0.16250000,1.02101761,1.65852703e-01,1083.3333
0.16328125,1.02592635,1.59254184e-01,1088.5417
0.16406250,1.03083509,1.51656137e-01,1093.7500
0.16484375,1.03574383,1.43480505e-01,1098.9583
0.16562500,1.04065257,1.35429523e-01,1104.1667
0.16640625,1.04556131,1.28192089e-01,1109.3750
0.16718750,1.05047004,1.22180684e-01,1114.5833
0.16796875,1.05537878,1.17361060e-01,1119.7917
0.16875000,1.06028752,1.13217413e-01,1125.0000
0.16953125,1.06519626,1.08863629e-01,1130.2083
0.17031250,1.07010500,1.03273083e-01,1135.4167
0.17109375,1.07501374,9.55660080e-02,1140.6250
0.17187500,1.07992247,8.52751501e-02,1145.8333
0.17265625,1.08483121,7.25143883e-02,1151.0417
0.17343750,1.08973995,5.80010815e-02,1156.2500
0.17421875,1.09464869,4.29238899e-02,1161.4583
0.17500000,1.09955743,2.86912107e-02,1166.6667
0.17578125,1.10446617,1.66278563e-02,1171.8750
0.17656250,1.10937491,7.69949282e-03,1177.0833
0.17734375,1.11428364,2.33288834e-03,1182.2917
0.17812500,1.11919238,3.69923719e-04,1187.5000
0.17890625,1.12410112,1.15491475e-03,1192.7083
0.17968750,1.12900986,3.72014649e-03,1197.9167
0.18046875,1.13391860,7.01338008e-03,1203.1250
0.18125000,1.13882734,1.01079829e-02,1208.3333
0.18203125,1.14373608,1.23497194e-02,1213.5417
0.18281250,1.14864481,1.34178273e-02,1218.7500
0.18359375,1.15355355,1.33034247e-02,1223.9583
0.18437500,1.15846229,1.22280682e-02,1229.1667
0.18515625,1.16337103,1.05349963e-02,1234.3750
0.18593750,1.16827977,8.58464637e-03,1239.5833
0.18671875,1.17318851,6.67710111e-03,1244.7917
0.18750000,1.17809725,5.01153323e-03,1250.0000
0.18828125,1.18300598,3.68086258e-03,1255.2083
0.18906250,1.18791472,2.69173902e-03,1260.4167
0.18984375,1.19282346,1.99679148e-03,1265.6250
0.19062500,1.19773220,1.52726863e-03,1270.8333
0.19140625,1.20264094,1.21810471e-03,1276.0417
